"Step","expert-meadow-184 - logistic_regression_accuracy","expert-meadow-184 - logistic_regression_accuracy__MIN","expert-meadow-184 - logistic_regression_accuracy__MAX"
"2","0.7821875","0.7821875","0.7821875"
"5","0.785625","0.785625","0.785625"
"8","0.7846875","0.7846875","0.7846875"
"11","0.7846875","0.7846875","0.7846875"
"14","0.781875","0.781875","0.781875"
"17","0.773125","0.773125","0.773125"
"20","0.7609375","0.7609375","0.7609375"
"23","0.74609375","0.74609375","0.74609375"
"26","0.72609375","0.72609375","0.72609375"
"29","0.71625","0.71625","0.71625"
"32","0.71296875","0.71296875","0.71296875"
"35","0.70828125","0.70828125","0.70828125"
"38","0.708125","0.708125","0.708125"
"41","0.7034375","0.7034375","0.7034375"
"44","0.70140625","0.70140625","0.70140625"
"47","0.69578125","0.69578125","0.69578125"
"51","0.6884375","0.6884375","0.6884375"
"54","0.68625","0.68625","0.68625"
"57","0.68578125","0.68578125","0.68578125"
"60","0.68203125","0.68203125","0.68203125"
"63","0.67390625","0.67390625","0.67390625"
"66","0.6678125","0.6678125","0.6678125"
"69","0.669375","0.669375","0.669375"
"72","0.67046875","0.67046875","0.67046875"
"75","0.670625","0.670625","0.670625"
"78","0.670625","0.670625","0.670625"
"81","0.668125","0.668125","0.668125"
"84","0.6659375","0.6659375","0.6659375"
"87","0.66453125","0.66453125","0.66453125"
"90","0.6659375","0.6659375","0.6659375"
"93","0.664375","0.664375","0.664375"
"96","0.665","0.665","0.665"
"100","0.66546875","0.66546875","0.66546875"
"103","0.6584375","0.6584375","0.6584375"
"106","0.6590625","0.6590625","0.6590625"
"109","0.659375","0.659375","0.659375"
"112","0.65578125","0.65578125","0.65578125"
"115","0.66","0.66","0.66"
"118","0.66953125","0.66953125","0.66953125"
"121","0.6721875","0.6721875","0.6721875"
"124","0.66796875","0.66796875","0.66796875"
"127","0.66375","0.66375","0.66375"
"130","0.656875","0.656875","0.656875"
"133","0.65484375","0.65484375","0.65484375"
"136","0.6575","0.6575","0.6575"
"139","0.65703125","0.65703125","0.65703125"
"142","0.654375","0.654375","0.654375"
"145","0.6540625","0.6540625","0.6540625"